2025-12-26T11:23:22.443Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:24:30.326Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:24:33.637Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:26:13.944Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:26:57.730Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:27:01.552Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:27:21.812Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T11:27:38.922Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T12:33:56.768Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T12:46:48.486Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
